ID	Purpose	Description	Evaluate Green (Grn-)	Evaluate Red (Red)	Expected Intensity	 Control Type
53740460	Specificity I PM red	GT Mismatch 6 (PM)	-	+	High	Sample-Dependent
29662396	Specificity II	Specificity 1	-	+	High	Sample-Dependent
17661470	Specificity II	Specificity 2	-	+	High	Sample-Dependent
34730329	Specificity II	Specificity 3	-	+	High	Sample-Dependent
24701411	Non-Polymorphic A	NP (A)	-	+	High	Sample-Dependent
18773482	Non-Polymorphic T	NP (T)	-	+	High	Sample-Dependent
23663352	Non-Polymorphic C	NP (C)	+	-	High	Sample-Dependent
70645401	Non-Polymorphic G	NP (G)	+	-	High	Sample-Dependent
13792480	Negative	Negative 1	+	+	Background	Sample-Dependent
69649505	Negative	Negative 2	+	+	Background	Sample-Dependent
34772371	Negative	Negative 3	+	+	Background	Sample-Dependent
28715352	Negative	Negative 4	+	+	Background	Sample-Dependent
74737439	Negative	Negative 5	+	+	Background	Sample-Dependent
33730459	Negative	Negative 6	+	+	Background	Sample-Dependent
54647418	Negative	Negative 7	+	+	Background	Sample-Dependent
71684459	Negative	Negative 8	+	+	Background	Sample-Dependent
40758350	Negative	Negative 9	+	+	Background	Sample-Dependent
35678453	Negative	Negative 10	+	+	Background	Sample-Dependent
33794466	Negative	Negative 11	+	+	Background	Sample-Dependent
64607409	Negative	Negative 12	+	+	Background	Sample-Dependent
37639436	Negative	Negative 13	+	+	Background	Sample-Dependent
44804473	Negative	Negative 14	+	+	Background	Sample-Dependent
45735479	Negative	Negative 15	+	+	Background	Sample-Dependent
74688409	Negative	Negative 16	+	+	Background	Sample-Dependent
37748499	Negative	Negative 17	+	+	Background	Sample-Dependent
15760434	Negative	Negative 18	+	+	Background	Sample-Dependent
39647340	Negative	Negative 19	+	+	Background	Sample-Dependent
46770480	Negative	Negative 20	+	+	Background	Sample-Dependent
73794328	Negative	Negative 21	+	+	Background	Sample-Dependent
13762418	Negative	Negative 22	+	+	Background	Sample-Dependent
57645303	Negative	Negative 23	+	+	Background	Sample-Dependent
44767440	Negative	Negative 24	+	+	Background	Sample-Dependent
74602472	Negative	Negative 25	+	+	Background	Sample-Dependent
51736450	Negative	Negative 26	+	+	Background	Sample-Dependent
61694431	Negative	Negative 27	+	+	Background	Sample-Dependent
22623305	Negative	Negative 28	+	+	Background	Sample-Dependent
34681355	Negative	Negative 29	+	+	Background	Sample-Dependent
38610459	Negative	Negative 30	+	+	Background	Sample-Dependent
71637302	Negative	Negative 31	+	+	Background	Sample-Dependent
11634395	Negative	Negative 32	+	+	Background	Sample-Dependent
52673469	Negative	Negative 33	+	+	Background	Sample-Dependent
24725313	Negative	Negative 34	+	+	Background	Sample-Dependent
62687391	Negative	Negative 35	+	+	Background	Sample-Dependent
59623346	Negative	Negative 36	+	+	Background	Sample-Dependent
36628412	Negative	Negative 37	+	+	Background	Sample-Dependent
72706346	Negative	Negative 38	+	+	Background	Sample-Dependent
52773311	Negative	Negative 39	+	+	Background	Sample-Dependent
34658309	Negative	Negative 40	+	+	Background	Sample-Dependent
36675490	Negative	Negative 41	+	+	Background	Sample-Dependent
27699343	Negative	Negative 42	+	+	Background	Sample-Dependent
61729339	Negative	Negative 43	+	+	Background	Sample-Dependent
71624317	Negative	Negative 44	+	+	Background	Sample-Dependent
15797359	Negative	Negative 45	+	+	Background	Sample-Dependent
17697426	Negative	Negative 46	+	+	Background	Sample-Dependent
53747447	Negative	Negative 47	+	+	Background	Sample-Dependent
41671439	Negative	Negative 48	+	+	Background	Sample-Dependent
36647382	Negative	Negative 49	+	+	Background	Sample-Dependent
19667322	Negative	Negative 50	+	+	Background	Sample-Dependent
73646500	Negative	Negative 51	+	+	Background	Sample-Dependent
48796393	Negative	Negative 52	+	+	Background	Sample-Dependent
14693463	Negative	Negative 53	+	+	Background	Sample-Dependent
41618467	Negative	Negative 54	+	+	Background	Sample-Dependent
19735359	Negative	Negative 55	+	+	Background	Sample-Dependent
64613447	Negative	Negative 56	+	+	Background	Sample-Dependent
44698389	Negative	Negative 57	+	+	Background	Sample-Dependent
17728375	Negative	Negative 58	+	+	Background	Sample-Dependent
74726377	Negative	Negative 59	+	+	Background	Sample-Dependent
38694476	Negative	Negative 60	+	+	Background	Sample-Dependent
18717404	Negative	Negative 61	+	+	Background	Sample-Dependent
13695465	Negative	Negative 62	+	+	Background	Sample-Dependent
13730428	Negative	Negative 63	+	+	Background	Sample-Dependent
42731444	Negative	Negative 64	+	+	Background	Sample-Dependent
59616409	Negative	Negative 65	+	+	Background	Sample-Dependent
22706307	Negative	Negative 66	+	+	Background	Sample-Dependent
31766306	Negative	Negative 67	+	+	Background	Sample-Dependent
39609442	Negative	Negative 68	+	+	Background	Sample-Dependent
33790484	Negative	Negative 69	+	+	Background	Sample-Dependent
10806301	Negative	Negative 70	+	+	Background	Sample-Dependent
49756350	Negative	Negative 71	+	+	Background	Sample-Dependent
29745446	Negative	Negative 72	+	+	Background	Sample-Dependent
68774378	Negative	Negative 73	+	+	Background	Sample-Dependent
19746379	Negative	Negative 74	+	+	Background	Sample-Dependent
58698497	Negative	Negative 75	+	+	Background	Sample-Dependent
39733339	Negative	Negative 76	+	+	Background	Sample-Dependent
27722502	Negative	Negative 77	+	+	Background	Sample-Dependent
57718401	Negative	Negative 78	+	+	Background	Sample-Dependent
42751432	Negative	Negative 79	+	+	Background	Sample-Dependent
63616307	Negative	Negative 80	+	+	Background	Sample-Dependent
58607432	Negative	Negative 81	+	+	Background	Sample-Dependent
30633490	Negative	Negative 82	+	+	Background	Sample-Dependent
66765375	Negative	Negative 83	+	+	Background	Sample-Dependent
44809397	Negative	Negative 84	+	+	Background	Sample-Dependent
30748463	Negative	Negative 85	+	+	Background	Sample-Dependent
67709387	Negative	Negative 86	+	+	Background	Sample-Dependent
21703446	Negative	Negative 87	+	+	Background	Sample-Dependent
63793358	Negative	Negative 88	+	+	Background	Sample-Dependent
40671337	Negative	Negative 89	+	+	Background	Sample-Dependent
49628475	Negative	Negative 90	+	+	Background	Sample-Dependent
64702437	Negative	Negative 91	+	+	Background	Sample-Dependent
59809450	Negative	Negative 92	+	+	Background	Sample-Dependent
42651436	Negative	Negative 93	+	+	Background	Sample-Dependent
15612396	Negative	Negative 94	+	+	Background	Sample-Dependent
72751495	Negative	Negative 95	+	+	Background	Sample-Dependent
46652385	Negative	Negative 96	+	+	Background	Sample-Dependent
47749327	Negative	Negative 97	+	+	Background	Sample-Dependent
65692343	Negative	Negative 98	+	+	Background	Sample-Dependent
18690397	Negative	Negative 99	+	+	Background	Sample-Dependent
48671446	Negative	Negative 100	+	+	Background	Sample-Dependent
23719447	Negative	Negative 101	+	+	Background	Sample-Dependent
63718317	Negative	Negative 102	+	+	Background	Sample-Dependent
48614418	Negative	Negative 103	+	+	Background	Sample-Dependent
53732484	Negative	Negative 104	+	+	Background	Sample-Dependent
51654304	Negative	Negative 105	+	+	Background	Sample-Dependent
67796487	Negative	Negative 106	+	+	Background	Sample-Dependent
14667385	Negative	Negative 107	+	+	Background	Sample-Dependent
66777429	Negative	Negative 108	+	+	Background	Sample-Dependent
17763347	Negative	Negative 109	+	+	Background	Sample-Dependent
37773393	Negative	Negative 110	+	+	Background	Sample-Dependent
56669346	Negative	Negative 111	+	+	Background	Sample-Dependent
22667496	Negative	Negative 112	+	+	Background	Sample-Dependent
56717403	Negative	Negative 113	+	+	Background	Sample-Dependent
51649417	Negative	Negative 114	+	+	Background	Sample-Dependent
27808455	Negative	Negative 115	+	+	Background	Sample-Dependent
51807349	Negative	Negative 116	+	+	Background	Sample-Dependent
48623411	Negative	Negative 117	+	+	Background	Sample-Dependent
20768333	Negative	Negative 118	+	+	Background	Sample-Dependent
32769401	Negative	Negative 119	+	+	Background	Sample-Dependent
39605397	Negative	Negative 120	+	+	Background	Sample-Dependent
38646418	Negative	Negative 121	+	+	Background	Sample-Dependent
44684348	Negative	Negative 122	+	+	Background	Sample-Dependent
18731300	Negative	Negative 123	+	+	Background	Sample-Dependent
41746382	Negative	Negative 124	+	+	Background	Sample-Dependent
62715445	Negative	Negative 125	+	+	Background	Sample-Dependent
59733458	Negative	Negative 126	+	+	Background	Sample-Dependent
46804470	Negative	Negative 127	+	+	Background	Sample-Dependent
33719470	Negative	Negative 128	+	+	Background	Sample-Dependent
57741357	Negative	Negative 129	+	+	Background	Sample-Dependent
51630461	Negative	Negative 130	+	+	Background	Sample-Dependent
50698313	Negative	Negative 131	+	+	Background	Sample-Dependent
40757376	Negative	Negative 132	+	+	Background	Sample-Dependent
48691496	Negative	Negative 133	+	+	Background	Sample-Dependent
48631323	Negative	Negative 134	+	+	Background	Sample-Dependent
58743479	Negative	Negative 135	+	+	Background	Sample-Dependent
63602509	Negative	Negative 136	+	+	Background	Sample-Dependent
15675471	Negative	Negative 137	+	+	Background	Sample-Dependent
35733328	Negative	Negative 138	+	+	Background	Sample-Dependent
28616440	Negative	Negative 139	+	+	Background	Sample-Dependent
32782393	Negative	Negative 140	+	+	Background	Sample-Dependent
16669449	Negative	Negative 141	+	+	Background	Sample-Dependent
48790370	Negative	Negative 142	+	+	Background	Sample-Dependent
71702433	Negative	Negative 143	+	+	Background	Sample-Dependent
13614338	Negative	Negative 144	+	+	Background	Sample-Dependent
66624407	Negative	Negative 145	+	+	Background	Sample-Dependent
44624509	Negative	Negative 146	+	+	Background	Sample-Dependent
40783477	Negative	Negative 147	+	+	Background	Sample-Dependent
57671333	Negative	Negative 148	+	+	Background	Sample-Dependent
55788503	Negative	Negative 149	+	+	Background	Sample-Dependent
10766300	Negative	Negative 150	+	+	Background	Sample-Dependent
21787367	Negative	Negative 151	+	+	Background	Sample-Dependent
17606370	Negative	Negative 152	+	+	Background	Sample-Dependent
22789350	Negative	Negative 153	+	+	Background	Sample-Dependent
55687425	Negative	Negative 154	+	+	Background	Sample-Dependent
26701424	Negative	Negative 155	+	+	Background	Sample-Dependent
57727413	Negative	Negative 156	+	+	Background	Sample-Dependent
39657358	Negative	Negative 157	+	+	Background	Sample-Dependent
32708507	Negative	Negative 158	+	+	Background	Sample-Dependent
21634460	Negative	Negative 159	+	+	Background	Sample-Dependent
17719340	Negative	Negative 160	+	+	Background	Sample-Dependent
38749314	Negative	Negative 161	+	+	Background	Sample-Dependent
27642486	Negative	Negative 162	+	+	Background	Sample-Dependent
58709354	Negative	Negative 163	+	+	Background	Sample-Dependent
70803473	Negative	Negative 164	+	+	Background	Sample-Dependent
30809470	Negative	Negative 165	+	+	Background	Sample-Dependent
66647505	Negative	Negative 166	+	+	Background	Sample-Dependent
66738419	Negative	Negative 167	+	+	Background	Sample-Dependent
37635404	Negative	Negative 168	+	+	Background	Sample-Dependent
42690458	Negative	Negative 169	+	+	Background	Sample-Dependent
20791303	Negative	Negative 170	+	+	Background	Sample-Dependent
56616504	Negative	Negative 171	+	+	Background	Sample-Dependent
15773503	Negative	Negative 172	+	+	Background	Sample-Dependent
35645419	Negative	Negative 173	+	+	Background	Sample-Dependent
13788497	Negative	Negative 174	+	+	Background	Sample-Dependent
36739329	Negative	Negative 175	+	+	Background	Sample-Dependent
47806304	Negative	Negative 176	+	+	Background	Sample-Dependent
19716351	Negative	Negative 177	+	+	Background	Sample-Dependent
36723508	Negative	Negative 178	+	+	Background	Sample-Dependent
14636449	Negative	Negative 179	+	+	Background	Sample-Dependent
18610491	Negative	Negative 180	+	+	Background	Sample-Dependent
65642346	Negative	Negative 181	+	+	Background	Sample-Dependent
21780347	Negative	Negative 182	+	+	Background	Sample-Dependent
38786493	Negative	Negative 183	+	+	Background	Sample-Dependent
52770489	Negative	Negative 184	+	+	Background	Sample-Dependent
63722503	Negative	Negative 185	+	+	Background	Sample-Dependent
23716350	Negative	Negative 186	+	+	Background	Sample-Dependent
34730322	Negative	Negative 187	+	+	Background	Sample-Dependent
59678332	Negative	Negative 188	+	+	Background	Sample-Dependent
17711307	Negative	Negative 189	+	+	Background	Sample-Dependent
58610399	Negative	Negative 190	+	+	Background	Sample-Dependent
27797433	Negative	Negative 191	+	+	Background	Sample-Dependent
56765474	Negative	Negative 192	+	+	Background	Sample-Dependent
33631454	Negative	Negative 193	+	+	Background	Sample-Dependent
53798451	Negative	Negative 194	+	+	Background	Sample-Dependent
55696369	Negative	Negative 195	+	+	Background	Sample-Dependent
37714454	Negative	Negative 196	+	+	Background	Sample-Dependent
40718477	Negative	Negative 197	+	+	Background	Sample-Dependent
70800305	Negative	Negative 198	+	+	Background	Sample-Dependent
59795323	Negative	Negative 199	+	+	Background	Sample-Dependent
16634315	Negative	Negative 200	+	+	Background	Sample-Dependent
63701462	Negative	Negative 201	+	+	Background	Sample-Dependent
46770381	Negative	Negative 202	+	+	Background	Sample-Dependent
43648347	Negative	Negative 203	+	+	Background	Sample-Dependent
27694462	Negative	Negative 204	+	+	Background	Sample-Dependent
64677468	Negative	Negative 205	+	+	Background	Sample-Dependent
71722434	Negative	Negative 206	+	+	Background	Sample-Dependent
22609385	Negative	Negative 207	+	+	Background	Sample-Dependent
21778313	Negative	Negative 208	+	+	Background	Sample-Dependent
23740406	Negative	Negative 209	+	+	Background	Sample-Dependent
54660350	Negative	Negative 210	+	+	Background	Sample-Dependent
54604316	Negative	Negative 211	+	+	Background	Sample-Dependent
54602452	Negative	Negative 212	+	+	Background	Sample-Dependent
47638351	Negative	Negative 213	+	+	Background	Sample-Dependent
39627308	Negative	Negative 214	+	+	Background	Sample-Dependent
25616364	Negative	Negative 215	+	+	Background	Sample-Dependent
48803364	Negative	Negative 216	+	+	Background	Sample-Dependent
51609389	Negative	Negative 217	+	+	Background	Sample-Dependent
16619433	Negative	Negative 218	+	+	Background	Sample-Dependent
64670483	Negative	Negative 219	+	+	Background	Sample-Dependent
43623510	Negative	Negative 220	+	+	Background	Sample-Dependent
19655377	Negative	Negative 221	+	+	Background	Sample-Dependent
54610311	Negative	Negative 222	+	+	Background	Sample-Dependent
14694306	Negative	Negative 223	+	+	Background	Sample-Dependent
26768510	Negative	Negative 224	+	+	Background	Sample-Dependent
11799488	Negative	Negative 225	+	+	Background	Sample-Dependent
63609386	Negative	Negative 226	+	+	Background	Sample-Dependent
22636496	Negative	Negative 227	+	+	Background	Sample-Dependent
19642457	Negative	Negative 228	+	+	Background	Sample-Dependent
15736392	Negative	Negative 229	+	+	Background	Sample-Dependent
72703449	Negative	Negative 230	+	+	Background	Sample-Dependent
59645487	Negative	Negative 231	+	+	Background	Sample-Dependent
18727400	Negative	Negative 232	+	+	Background	Sample-Dependent
57676381	Negative	Negative 233	+	+	Background	Sample-Dependent
21619366	Negative	Negative 234	+	+	Background	Sample-Dependent
40772413	Negative	Negative 235	+	+	Background	Sample-Dependent
33729325	Negative	Negative 236	+	+	Background	Sample-Dependent
32761481	Negative	Negative 237	+	+	Background	Sample-Dependent
67687427	Negative	Negative 238	+	+	Background	Sample-Dependent
22683471	Negative	Negative 239	+	+	Background	Sample-Dependent
63742465	Negative	Negative 240	+	+	Background	Sample-Dependent
30767497	Negative	Negative 241	+	+	Background	Sample-Dependent
74748483	Negative	Negative 242	+	+	Background	Sample-Dependent
65692342	Negative	Negative 243	+	+	Background	Sample-Dependent
55716389	Negative	Negative 244	+	+	Background	Sample-Dependent
73681335	Negative	Negative 245	+	+	Background	Sample-Dependent
21698344	Negative	Negative 246	+	+	Background	Sample-Dependent
42777359	Negative	Negative 247	+	+	Background	Sample-Dependent
55659383	Negative	Negative 248	+	+	Background	Sample-Dependent
62711365	Negative	Negative 249	+	+	Background	Sample-Dependent
28650324	Negative	Negative 250	+	+	Background	Sample-Dependent
59785457	Negative	Negative 251	+	+	Background	Sample-Dependent
20650506	Negative	Negative 252	+	+	Background	Sample-Dependent
19687436	Negative	Negative 253	+	+	Background	Sample-Dependent
43704397	Negative	Negative 254	+	+	Background	Sample-Dependent
54655320	Negative	Negative 255	+	+	Background	Sample-Dependent
13642439	Negative	Negative 256	+	+	Background	Sample-Dependent
13610413	Negative	Negative 257	+	+	Background	Sample-Dependent
70616500	Negative	Negative 258	+	+	Background	Sample-Dependent
48759321	Negative	Negative 259	+	+	Background	Sample-Dependent
20774308	Negative	Negative 260	+	+	Background	Sample-Dependent
45735494	Negative	Negative 261	+	+	Background	Sample-Dependent
22624440	Negative	Negative 262	+	+	Background	Sample-Dependent
48681497	Negative	Negative 263	+	+	Background	Sample-Dependent
56705442	Negative	Negative 264	+	+	Background	Sample-Dependent
10627500	Negative	Negative 265	+	+	Background	Sample-Dependent
28799402	Negative	Negative 266	+	+	Background	Sample-Dependent
19656361	Negative	Negative 267	+	+	Background	Sample-Dependent
64727389	Negative	Negative 268	+	+	Background	Sample-Dependent
46784419	Negative	Negative 269	+	+	Background	Sample-Dependent
58649309	Negative	Negative 270	+	+	Background	Sample-Dependent
14677363	Negative	Negative 271	+	+	Background	Sample-Dependent
24741416	Negative	Negative 272	+	+	Background	Sample-Dependent
40674383	Negative	Negative 273	+	+	Background	Sample-Dependent
63641352	Negative	Negative 274	+	+	Background	Sample-Dependent
29746457	Negative	Negative 275	+	+	Background	Sample-Dependent
47774480	Negative	Negative 276	+	+	Background	Sample-Dependent
34624334	Negative	Negative 277	+	+	Background	Sample-Dependent
46809455	Negative	Negative 278	+	+	Background	Sample-Dependent
57716426	Negative	Negative 279	+	+	Background	Sample-Dependent
61794438	Negative	Negative 280	+	+	Background	Sample-Dependent
21682456	Negative	Negative 281	+	+	Background	Sample-Dependent
50682301	Negative	Negative 282	+	+	Background	Sample-Dependent
54684414	Negative	Negative 283	+	+	Background	Sample-Dependent
20661475	Negative	Negative 284	+	+	Background	Sample-Dependent
41802497	Negative	Negative 285	+	+	Background	Sample-Dependent
28631434	Negative	Negative 286	+	+	Background	Sample-Dependent
23698469	Negative	Negative 287	+	+	Background	Sample-Dependent
68654502	Negative	Negative 288	+	+	Background	Sample-Dependent
47785348	Negative	Negative 289	+	+	Background	Sample-Dependent
55763349	Negative	Negative 290	+	+	Background	Sample-Dependent
57708423	Negative	Negative 291	+	+	Background	Sample-Dependent
58728453	Negative	Negative 292	+	+	Background	Sample-Dependent
64729320	Negative	Negative 293	+	+	Background	Sample-Dependent
12741433	Negative	Negative 294	+	+	Background	Sample-Dependent
12789492	Negative	Negative 295	+	+	Background	Sample-Dependent
66808385	Negative	Negative 296	+	+	Background	Sample-Dependent
69728489	Negative	Negative 297	+	+	Background	Sample-Dependent
12635324	Negative	Negative 298	+	+	Background	Sample-Dependent
23681509	Negative	Negative 299	+	+	Background	Sample-Dependent
54620498	Negative	Negative 300	+	+	Background	Sample-Dependent
63782372	Negative	Negative 301	+	+	Background	Sample-Dependent
49690488	Negative	Negative 302	+	+	Background	Sample-Dependent
66645413	Negative	Negative 303	+	+	Background	Sample-Dependent
42797349	Negative	Negative 304	+	+	Background	Sample-Dependent
70648471	Negative	Negative 305	+	+	Background	Sample-Dependent
72768454	Negative	Negative 306	+	+	Background	Sample-Dependent
45648397	Negative	Negative 307	+	+	Background	Sample-Dependent
38707323	Negative	Negative 308	+	+	Background	Sample-Dependent
52685510	Negative	Negative 309	+	+	Background	Sample-Dependent
46647425	Negative	Negative 310	+	+	Background	Sample-Dependent
39736424	Negative	Negative 311	+	+	Background	Sample-Dependent
37706335	Negative	Negative 312	+	+	Background	Sample-Dependent
44795438	Negative	Negative 313	+	+	Background	Sample-Dependent
55644371	Negative	Negative 314	+	+	Background	Sample-Dependent
40619329	Negative	Negative 315	+	+	Background	Sample-Dependent
37601420	Negative	Negative 316	+	+	Background	Sample-Dependent
32711344	Negative	Negative 317	+	+	Background	Sample-Dependent
10732387	Negative	Negative 318	+	+	Background	Sample-Dependent
65679420	Negative	Negative 319	+	+	Background	Sample-Dependent
74684431	Negative	Negative 320	+	+	Background	Sample-Dependent
71602471	Negative	Negative 321	+	+	Background	Sample-Dependent
17780492	Negative	Negative 322	+	+	Background	Sample-Dependent
42792342	Negative	Negative 323	+	+	Background	Sample-Dependent
19666445	Negative	Negative 324	+	+	Background	Sample-Dependent
36759384	Negative	Negative 325	+	+	Background	Sample-Dependent
15781320	Negative	Negative 326	+	+	Background	Sample-Dependent
69775303	Negative	Negative 327	+	+	Background	Sample-Dependent
22626413	Negative	Negative 328	+	+	Background	Sample-Dependent
63798462	Negative	Negative 329	+	+	Background	Sample-Dependent
18684312	Negative	Negative 330	+	+	Background	Sample-Dependent
46657422	Negative	Negative 331	+	+	Background	Sample-Dependent
21704406	Negative	Negative 332	+	+	Background	Sample-Dependent
19769414	Negative	Negative 333	+	+	Background	Sample-Dependent
36658331	Negative	Negative 334	+	+	Background	Sample-Dependent
31665352	Negative	Negative 335	+	+	Background	Sample-Dependent
68775364	Negative	Negative 336	+	+	Background	Sample-Dependent
11781405	Negative	Negative 337	+	+	Background	Sample-Dependent
37727355	Negative	Negative 338	+	+	Background	Sample-Dependent
23624465	Negative	Negative 339	+	+	Background	Sample-Dependent
28620342	Negative	Negative 340	+	+	Background	Sample-Dependent
28731304	Negative	Negative 341	+	+	Background	Sample-Dependent
71685343	Negative	Negative 342	+	+	Background	Sample-Dependent
13639467	Negative	Negative 343	+	+	Background	Sample-Dependent
34661497	Negative	Negative 344	+	+	Background	Sample-Dependent
55699322	Negative	Negative 345	+	+	Background	Sample-Dependent
70720399	Negative	Negative 346	+	+	Background	Sample-Dependent
44702369	Negative	Negative 347	+	+	Background	Sample-Dependent
24729405	Negative	Negative 348	+	+	Background	Sample-Dependent
71743454	Negative	Negative 349	+	+	Background	Sample-Dependent
59700309	Negative	Negative 350	+	+	Background	Sample-Dependent
34602505	Negative	Negative 351	+	+	Background	Sample-Dependent
30754380	Negative	Negative 352	+	+	Background	Sample-Dependent
41689490	Negative	Negative 353	+	+	Background	Sample-Dependent
53743425	Negative	Negative 354	+	+	Background	Sample-Dependent
11773410	Negative	Negative 355	+	+	Background	Sample-Dependent
28800399	Negative	Negative 356	+	+	Background	Sample-Dependent
11807451	Negative	Negative 357	+	+	Background	Sample-Dependent
69786328	Negative	Negative 358	+	+	Background	Sample-Dependent
54697374	Negative	Negative 359	+	+	Background	Sample-Dependent
44715410	Negative	Negative 360	+	+	Background	Sample-Dependent
46765460	Negative	Negative 361	+	+	Background	Sample-Dependent
72759412	Negative	Negative 362	+	+	Background	Sample-Dependent
37716390	Negative	Negative 363	+	+	Background	Sample-Dependent
36688342	Negative	Negative 364	+	+	Background	Sample-Dependent
44623355	Negative	Negative 365	+	+	Background	Sample-Dependent
29726340	Negative	Negative 366	+	+	Background	Sample-Dependent
25742329	Negative	Negative 367	+	+	Background	Sample-Dependent
33714465	Negative	Negative 368	+	+	Background	Sample-Dependent
17739383	Negative	Negative 369	+	+	Background	Sample-Dependent
57649451	Negative	Negative 370	+	+	Background	Sample-Dependent
51764357	Negative	Negative 371	+	+	Background	Sample-Dependent
69781500	Negative	Negative 372	+	+	Background	Sample-Dependent
64711325	Negative	Negative 373	+	+	Background	Sample-Dependent
53687365	Negative	Negative 374	+	+	Background	Sample-Dependent
29655354	Negative	Negative 375	+	+	Background	Sample-Dependent
34646469	Negative	Negative 376	+	+	Background	Sample-Dependent
71705328	Negative	Negative 377	+	+	Background	Sample-Dependent
43700387	Negative	Negative 378	+	+	Background	Sample-Dependent
23713493	Negative	Negative 379	+	+	Background	Sample-Dependent
26668378	Negative	Negative 380	+	+	Background	Sample-Dependent
33621423	Negative	Negative 381	+	+	Background	Sample-Dependent
37767334	Negative	Negative 382	+	+	Background	Sample-Dependent
37654486	Negative	Negative 383	+	+	Background	Sample-Dependent
64694405	Negative	Negative 384	+	+	Background	Sample-Dependent
31709433	Negative	Negative 385	+	+	Background	Sample-Dependent
16717301	Negative	Negative 386	+	+	Background	Sample-Dependent
45678305	Negative	Negative 387	+	+	Background	Sample-Dependent
56810364	Negative	Negative 388	+	+	Background	Sample-Dependent
33631362	Negative	Negative 389	+	+	Background	Sample-Dependent
54726487	Negative	Negative 390	+	+	Background	Sample-Dependent
13728505	Negative	Negative 391	+	+	Background	Sample-Dependent
36781404	Negative	Negative 392	+	+	Background	Sample-Dependent
42770436	Negative	Negative 393	+	+	Background	Sample-Dependent
68758332	Negative	Negative 394	+	+	Background	Sample-Dependent
53677329	Negative	Negative 395	+	+	Background	Sample-Dependent
40629493	Negative	Negative 396	+	+	Background	Sample-Dependent
54623464	Negative	Negative 397	+	+	Background	Sample-Dependent
32733455	Negative	Negative 398	+	+	Background	Sample-Dependent
40765481	Negative	Negative 399	+	+	Background	Sample-Dependent
67759403	Negative	Negative 400	+	+	Background	Sample-Dependent
42634319	Negative	Negative 401	+	+	Background	Sample-Dependent
74787491	Negative	Negative 402	+	+	Background	Sample-Dependent
